logM, logSFR
10.23099, 0.6606159
10.04084, 0.7197891
10.51327, 1.142774
11.11189, 0.9661106
10.00187, 0.6287402
10.01363, 0.5665021
10.63216, 1.079469
10.0916, 0.7381065
10.50281, 0.8144547
10.25966, 0.8279141
10.1004, 0.756
10.73378, 0.2196786
10.21171, 1.103163
10.01296, 0.3459812
10.65277, 0.9962285
10.0842, 0.5202217
10.25908, 0.6762944
10.34856, 0.9832472
10.6487, -1.297513
10.48086, 1.186606
10.01748, -0.09279879
10.88223, 1.507129
10.25939, 0.6113461
10.08043, 0.7765422
10.73436, 0.8228259
10.75769, 1.237796
10.76541, -0.7726471
10.66191, 1.080573
10.26417, 0.3004414
10.23053, 0.7199732
10.61783, 1.117938
10.29669, 0.940395
11.06257, 0.3495916
10.3036, 0.9739727
10.31552, 0.5116388
10.51635, -0.1978343
10.70373, 1.179719
10.50479, -0.8116011
10.36943, 0.6970227
10.15128, 0.5273988
10.33933, 0.5467417
11.03863, 0.534584
10.5684, 0.882811
10.71347, 0.552169
10.02006, 0.904531
10.26096, 0.8190578
10.48343, 0.8693304
10.17576, 0.6070945
10.18282, 0.7247757
10.18742, 0.7670365
10.18004, 0.6503633
10.00661, 0.07745618
10.05661, 0.6662533
10.37272, 0.8478209
10.21374, 0.7205657
10.60623, 1.094192
10.19786, 0.6712475
10.44125, 0.0978319
10.20261, 0.7243457
10.09523, 0.7402825
10.17092, 0.8229496
10.24609, 0.4481327
10.2839, 0.7559859
11.14236, -0.03883473
10.88554, 0.9575739
10.16062, 0.819873
10.07954, 0.4672133
10.16844, 0.4321645
10.18131, 0.8818355
10.27871, 0.7019313
10.30618, 0.7910165
10.08939, 0.8037248
10.36771, 0.7908219
10.11807, 0.9194111
10.95716, -0.167408
10.4232, 1.226446
10.50723, 0.8719196
10.37776, -0.3987806
10.25473, 0.4509904
10.11325, 0.5578908
10.19057, 0.4730576
11.05875, -0.1077628
10.92935, 1.149216
10.9395, 0.1079192
10.37518, 0.6315939
10.10855, 0.6467348
10.00654, 0.4088151
10.16784, 0.5594292
